manuskrypt ;; rękopiśmienny tekst lub dokument, niepublikowany drukiem.
cenzura ;; działanie polegające na kontrolowaniu, ocenzurowywaniu oraz ograniczaniu treści medialnych, artystycznych lub literackich, które mogą być uznane za nieodpowiednie lub niebezpieczne przez władze lub inne instytucje.
asertywność ;; umiejętność wyrażania swoich uczuć, potrzeb i opinii w sposób pewny, konstruktywny i szanujący zarówno siebie, jak i innych.
obłęd ;; stan zaburzonego zdrowia psychicznego charakteryzujący się utratą kontaktu z rzeczywistością oraz występowaniem halucynacji, urojeń, agresji lub apatii.
wzmacniacz ;; urządzenie elektroniczne służące do zwiększania amplitudy sygnału elektrycznego.
finanse ;; dziedzina nauki zajmująca się gromadzeniem, zarządzaniem i alokacją środków pieniężnych oraz analizą zjawisk z nimi związanych.
komunikator ;; aplikacja lub program umożliwiający komunikację między użytkownikami za pomocą wiadomości tekstowych, głosowych, wideo lub innych form komunikacji online.
mafia ;; zorganizowana grupa przestępcza, działająca w sposób hierarchiczny i stosująca przemoc oraz zastraszanie w celu osiągnięcia własnych korzyści.
opisanie ;; czynność polegająca na przedstawieniu, opisaniu lub nakreśleniu czegoś w sposób szczegółowy, precyzyjny i obrazowy.
solistka ;; artystka wykonująca solo, solowy występ lub solowy utwór muzyczny.
katecheza ;; proces nauczania religii, mający na celu pogłębianie wiary, uczenie dogmatów oraz wartości chrześcijańskich w ramach kościoła katolickiego lub innych wyznań chrześcijańskich.
budka ;; mała, zazwyczaj przenośna konstrukcja służąca jako miejsce do sprzedaży lub usług, często spotykana na ulicach lub targowiskach.
cysterna ;; zbiornik lub pojemnik służący do transportu cieczy, gazów lub innych substancji.
przymiotnik ;; część mowy służąca do określania cech osób, rzeczy lub zjawisk.
ułaskawienie ;; akty prawnie uregulowane, polegające na odstąpieniu od wymierzenia kary lub skróceniu jej czasu przez właściwy organ państwowy.
mięso ;; produkt spożywczy pochodzenia zwierzęcego, będący tkanką mięśniową, często wykorzystywany jako składnik różnorodnych potraw.
buta ;; w języku potocznym oznacza palcem wskazującym i środkowym skierowanymi ku dołowi, złączonymi w jedną całość. jest to charakterystyczny gest popularny szczególnie w kulturze internetowej.
plenum ;; termin oznaczający pełne zgromadzenie wszystkich uprawnionych członków danej jednostki organizacyjnej lub instytucji.
władztwo ;; pojęcie określające władzę, kontrolę lub zwierzchnictwo nad określonym obszarem, grupą osób lub sytuacją.
hall ;; przestronne pomieszczenie lub korytarz służący jako miejsce spotkań, zebrania lub przejścia w budynku.
bycie ;; pojęcie obejmujące istnienie, rzeczywistość oraz stan posiadania cech lub właściwości."
gwara ;; odmiana języka, posiadająca swoje własne specyficzne cechy fonetyczne, leksykalne i gramatyczne, używana głównie w określonym regionie lub społeczności.
ołówek ;; narzędzie do pisania, składające się z drewnianego korpusu wypełnionego wkładem z grafitu lub ołowiu, służące do tworzenia rysunków i pisania.
doktorat ;; najwyższy stopień naukowy nadawany po ukończeniu studiów doktoranckich i obronieniu pracy doktorskiej.
błękit ;; kolor odcieniu niebieskim, przypominający barwę nieba w pogodny dzień.
owad ;; bezkręgowiec z gromady stawonogów, charakteryzujący się trzema parami odnóży i ciałem podzielonym na trzy tagmy: głowę, tułów i odwłok.
łopatka ;; narzędzie służące do kopania lub przenoszenia materiałów, składające się z metalowej płyty mocowanej do drewnianego lub metalowego trzonka.
ciepło ;; forma energii przejawiająca się poprzez podnoszenie temperatury ciała albo otoczenia.
panna ;; określenie używane do nazywania młodej kobiety, która nie jest zamężna.
komentator ;; osoba komentująca wydarzenia, mecz sportowy, program telewizyjny, czy inne wydarzenia na żywo, udzielająca swoich opinii i komentarzy na temat prezentowanej treści.
defekt ;; nieprawidłowość, wada lub usterka występująca w produkcie lub materiale, uniemożliwiająca mu pełne lub poprawne funkcjonowanie.
euforia ;; intensywne uczucie szczęścia, radości i euforii, często towarzyszące pozytywnym przeżyciom lub wydarzeniom.
wniosek ;; forma wnioskowania oparta na dostępnych informacjach, mająca na celu wyciągnięcie konkretnych konkluzji lub decyzji.
kwiaciarnia ;; sklep, w którym sprzedaje się kwiaty, bukiety oraz inne artykuły związane z florystyką.
długotrwałość ;; cecha stanu, procesu lub zjawiska trwającego przez długi okres czasu.
sukurs ;; pomoc lub wsparcie udzielane w sytuacji kryzysowej lub nadzwyczajnej, mające na celu zminimalizowanie skutków negatywnych zdarzeń.
element ;; podstawowy składnik lub część większej całości, występująca jako część układu lub systemu.
pudło ;; potoczne określenie na nieudany projekt, przedsięwzięcie lub rozwiązanie. może również oznaczać zawód, porażkę lub nietrafiony strzał.
redukowanie ;; proces zmniejszania ilości, wielkości lub wartości jakiegoś elementu.
progres ;; postęp, rozwój lub udoskonalenie w danym obszarze działalności.
zapach ;; percepcja chemicznych substancji w powietrzu, pobudzająca receptory w nosie i wywołująca uczucie specyficznego aromatu.
kotka ;; potoczne określenie samiczki kota domowego.
szarża ;; atak prowadzony przez grupę żołnierzy na wroga, wykonywany zwykle na koniach lub wozach bojowych.
kościółek ;; mały, zwykle niewielki kościół lub kaplica.
manewr ;; celowe i zazwyczaj złożone działanie mające na celu osiągnięcie określonego rezultatu, często wykonywane w warunkach ograniczonej przestrzeni lub w trudnych warunkach.
niekompletność ;; stan braku pełności, całościowości lub wszystkich elementów potrzebnych do ukończenia danego procesu, zadania lub projektu.
panika ;; silne uczucie nagłego lęku i niepokoju, często towarzyszące sytuacjom stresującym lub zagrożeniu, charakteryzujące się utratą kontroli oraz dezorientacją.
witraż ;; artystycznie wykonane okno lub sufit składające się z kolorowych szklanych paneli, często używane w architekturze sakralnej lub zabytkowych budynkach.
lubelski ;; odnosi się do miasta lublin lub regionu lubelskiego, znajdującego się na wschodzie polski.
obiad ;; główny posiłek spożywany zazwyczaj w godzinach popołudniowych lub wieczornych, składający się z różnych potraw zazwyczaj zawierających mięso, warzywa, ziemniaki lub inne składniki.
donos ;; akt informowania władz lub osób odpowiedzialnych o podejrzanym lub nielegalnym zachowaniu innej osoby, najczęściej w celu zgłoszenia przestępstwa lub niewłaściwego postępowania.
nuta ;; dźwięk o określonej wysokości i długości, będący podstawowym elementem muzyki.
rozpuszczalnik ;; substancja umożliwiająca rozpuszczenie innej substancji, tworząca jednorodną mieszaninę.
spekulacja ;; działanie polegające na podejmowaniu ryzykownych transakcji finansowych w celu osiągnięcia zysku z krótkoterminowej zmienności cen aktywów.
róż ;; kwiat o intensywnym zapachu i różnych kolorach, symbolizujący miłość, romantyzm i piękno.
głodówka ;; okresowy proces, podczas którego osoba decyduje się na ograniczenie spożycia pokarmu w celu poprawy zdrowia lub osiągnięcia określonych celów zdrowotnych.
beniaminek ;; osoba lub zespół debiutujący w konkursie, zawodach sportowych lub innej dziedzinie i zaskakująco odnoszący sukcesy, mimo niskich oczekiwań przed startem.
nauczycielka ;; osoba zatrudniona w szkole lub placówce edukacyjnej, odpowiedzialna za przekazywanie wiedzy i umiejętności uczniom oraz wspieranie ich rozwoju osobistego i intelektualnego.
rating ;; ocena lub wskaźnik przypisany produktowi, usłudze lub treści w celu określenia jego jakości, popularności lub poziomu zadowolenia użytkowników.
poprzeczka ;; element konstrukcyjny lub ozdobny o kształcie poziomej belki, służący do podparcia lub ozdobienia różnych konstrukcji. może być wykonana z różnych materiałów, takich jak drewno, metal czy tworzywa sztuczne.
zamożność ;; stan posiadania znacznych dóbr materialnych lub finansowych, umożliwiający komfortowe życie oraz realizację różnych celów życiowych.
górnictwo ;; działalność gospodarcza polegająca na pozyskiwaniu surowców mineralnych z wnętrza ziemi.
oszczędność ;; akumulacja kapitału poprzez regularne odkładanie środków pieniężnych lub innych wartościowych zasobów w celu zabezpieczenia na przyszłość lub osiągnięcia określonych celów finansowych.
kulis ;; tło sceniczne lub dekoracja teatralna, służąca do tworzenia odpowiedniego klimatu lub ułatwienia zmiany sceny podczas przedstawienia teatralnego.
rozsądek ;; zdolność rozumnego myślenia, oceniania sytuacji i podejmowania właściwych decyzji.
długopis ;; przedmiot do pisania, składający się z pojemnika na atrament lub pastę oraz metalowego wydłużonego wkładu z końcówką do nakładania atramentu na powierzchnię.
dodawanie ;; działanie matematyczne polegające na łączeniu dwóch lub więcej liczb w celu uzyskania ich sumy.
pochówek ;; miejsce, na którym zostaje pochowany zmarły człowiek lub zwierzę.
jakość ;; stopień zadowolenia użytkownika lub odbiorcy z cechami, właściwościami lub atrybutami danego produktu, usługi lub procesu.
topola ;; rodzaj drzew należących do rodziny wierzbowatych, charakteryzujących się szybkim wzrostem i charakterystycznymi liśćmi w kształcie serca.
bezrobocie ;; sytuacja, gdy osoby zdolne do pracy nie mają możliwości znalezienia zatrudnienia i aktywnie szukające pracy pozostają bez zatrudnienia.
dostatek ;; stan posiadania wystarczających zasobów materialnych lub innych do zaspokojenia potrzeb i pragnień.
rynna ;; element odprowadzający wodę z dachu budynku do kanalizacji deszczowej lub innego miejsca odpływu.
niania ;; osoba zatrudniona do opieki nad dziećmi w domu, zajmująca się ich pielęgnacją, zabawą i nauką.
kalwinizm ;; zbiorowy termin określający nurt protestantyzmu wywodzący się z nauk jana kalwina, charakteryzujący się m.in. przekonaniem o predestynacji, suwerenności boga oraz potrzeby pracy i oszczędności.
reprodukcja ;; proces, w wyniku którego organizm rozmnaża się, tworząc potomstwo lub kopie samego siebie.
inwalidztwo ;; ""invalidztwo"" to stan lub stopień niepełnosprawności, który uniemożliwia osobie wykonywanie określonych czynności życia codziennego lub zawodowego.
taktyka ;; strategiczne planowanie działań w celu osiągnięcia konkretnego celu w warunkach zmieniającego się środowiska.
gorset ;; obcisłe, usztywnione ubranie, noszone w celu wymodelowania sylwetki poprzez wyszczuplenie talii i podniesienie biustu.
zwierzchność ;; sytuacja, w której jedna osoba bądź instytucja posiada wyższą władzę i kontrolę nad innymi osobami lub instytucjami.
nowotwór ;; niekontrolowany wzrost komórek w organizmie, który może prowadzić do powstania guza lub zmiany nowotworowej.
sejm ;; parlamentarny organ ustawodawczy, który w polsce pełni funkcję reprezentacji narodu i podejmuje decyzje dotyczące legislacji oraz polityki państwa.
zbrodnia ;; działanie lub zaniedbanie, które narusza prawo i jest uznawane za poważne przestępstwo przeciwko społeczeństwu.
wentylacja ;; proces wymiany powietrza wewnątrz pomieszczenia, mający na celu zapewnienie odpowiedniej jakości powietrza oraz utrzymanie odpowiedniej temperatury i wilgotności.
algorytm ;; zestaw kroków logicznych i precyzyjnych instrukcji, które prowadzą do rozwiązania danego problemu lub realizacji określonego zadania.
kształt ;; rodzaj formy, wizualne lub geometryczne ułożenie elementów, które określa zewnętrzny wygląd obiektu lub przestrzeni.
konserwatyzm ;; nurt polityczny, ideologia lub postawa charakteryzująca się dążeniem do zachowania tradycyjnych wartości, instytucji i porządku społecznego.
ratunek ;; pomoc udzielana w sytuacji zagrożenia lub potrzeby, mająca na celu uratowanie lub poprawienie sytuacji osoby znajdującej się w trudnościach.
oświata ;; ogół działań mających na celu szerzenie wiedzy, umiejętności i wartości w społeczeństwie oraz podnoszenie poziomu edukacji.
kula ;; w geometrii trójwymiarowej jest to bryła o powierzchni w kształcie sfery.
pech ;; sytuacja, w której los przynosi niechciane lub niekorzystne wydarzenia, przynoszące niepowodzenia lub kłopoty.
rekomendacja ;; sugestia lub polecenie wyrażone przez osobę lub instytucję, mające na celu polepszenie, poparcie lub wyróżnienie konkretnej decyzji, produktu lub usługi.
ratyfikacja ;; oficjalne potwierdzenie lub zatwierdzenie umowy, paktu, traktatu lub innego dokumentu prawnego, co oznacza formalne przyjęcie i uznanie jego ważności i mocy prawnej przez odpowiednie organy lub strony umowy.
tunika ;; luźna, często przylegająca do ciała bluzka lub sukienka, zazwyczaj sięgająca do bioder lub uda.
turysta ;; osoba podróżująca w celach rekreacyjnych lub poznawczych, zwykle odwiedzająca różne miejsca, kraje lub regiony poza swoim miejscem zamieszkania.
lejtnant ;; stopień wojskowy, niski stopień oficerski, jednostka organizacyjna w armii, odpowiadający w różnych siłach zbrojnych stopniom podporucznika lub porucznika.
upoważnienie ;; forma legalnej zgody lub autoryzacji udzielanej przez jedną osobę innej osobie lub instytucji do podjęcia określonych działań w jej imieniu.
depresja ;; zaburzenie psychiczne charakteryzujące się głębokim uczuciem smutku, beznadziejności, utraty zainteresowania życiem oraz trudnościami w codziennym funkcjonowaniu.
kwestia ;; sprawa, problem, zagadnienie wymagające rozwiązania lub dyskusji.
